scenario,scenario_label,policy,mean_battery_power_utilization,max_battery_power_utilization,mean_battery_energy_utilization,battery_throughput_utilization,renewable_utilization_rate,curtailment_rate,renewable_backed_average_mw,mean_battery_output_mw,battery_utilization_improvement_vs_historical_pp,peak_residual_nonrenewable_reduction_vs_historical_mw,high_gas_hour_battery_discharge_mwh,high_gas_hour_average_discharge_mw,high_gas_hour_coverage_ratio,optimized_gas_dispatch_mwh,optimized_gas_peak_mw,gas_generation_saved_vs_historical_mwh,average_gas_generation_saved_mw,gas_peak_reduction_vs_historical_mw
current_ontario_storage,Current observed storage fleet in source files,historical_actual,0.0598943700010109,1.0,0.0,0.1471957716173621,1.0,0.0,0.0,27.697337692666977,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
current_ontario_storage,Current observed storage fleet in source files,forecast_informed_uc,0.1360950810368419,1.0,0.5469584267361974,0.8165704862210518,0.9999999999999998,0.0,1465.8847809901747,153.6513464905946,7.6200711035831,654.0,190409.64419145408,295.2087506844249,0.0461399924520962,4372068.354343673,6409.0,19271910.645656325,3000.4531598406234,1619.0
