experiment,horizon_hours,storage_power_mw,storage_energy_mwh,battery_utilization_pct,mean_battery_output_mw,total_discharge_mwh,gas_generation_saved_vs_historical_mwh,gas_peak_reduction_vs_historical_mw,peak_nonrenewable_reduction_vs_historical_mw,modeled_operating_cost_usd,operating_cost_saved_vs_historical_usd,delta_vs_168h_battery_utilization_pp,delta_vs_168h_mean_battery_output_mw,delta_vs_168h_gas_saved_mwh,delta_vs_168h_operating_cost_saved_usd,solve_blocks,mean_block_solve_seconds,max_block_solve_seconds,mean_mip_gap_pct,historical_battery_utilization_pct
sensitivity_horizon_24h,24,1129.0,4516.0,13.66897965205927,154.3227802717492,991215.2176854452,19126520.948645733,1280.0,615.9999999999964,160216091.6657647,159422336.3724512,0.059471548375081285,0.6714337811546045,-145389.69701059163,-292460.4484168291,268,0.5452158406599245,3.206106185913086,0.014670281513497243,5.98943700010109
sensitivity_horizon_72h,72,1129.0,4516.0,13.349738785264039,150.7185508856311,968065.2523384084,19215395.536255203,1771.0,805.9999999999964,159951579.68000212,159686848.35821375,-0.25976931842014994,-2.932795604963502,-56515.109401121736,-27948.46265426278,90,1.271482327249315,1.8604402542114256,0.019873550771533743,5.98943700010109
full_run_168h,168,1129.0,4516.0,13.60950810368419,153.6513464905946,986902.598509089,19271910.645656325,1619.0,654.0,159923631.21734786,159714796.82086802,0.0,0.0,0.0,0.0,39,9.110803958697197,50.5707151889801,0.03122341847637919,5.98943700010109
