experiment,case_label,storage_power_mw,storage_energy_mwh,battery_utilization_pct,mean_battery_output_mw,total_discharge_mwh,gas_generation_saved_vs_historical_mwh,gas_peak_reduction_vs_historical_mw,peak_nonrenewable_reduction_vs_historical_mw,modeled_operating_cost_usd,operating_cost_saved_vs_historical_usd,delta_vs_current_battery_utilization_pp,delta_vs_current_mean_battery_output_mw,delta_vs_current_gas_saved_mwh,delta_vs_current_operating_cost_saved_usd
full_run_168h,Current observed fleet,1129.0,4516.0,13.60950810368419,153.6513464905946,986902.598509089,19271910.645656325,1619.0,654.0,159923631.21734786,159714796.82086802,0.0,0.0,0.0,0.0
sensitivity_storage_1500mw,1500 MW / 4h,1500.0,6000.0,12.97984757576011,194.69771363640177,1250543.4146866084,19393482.126447212,1718.0,752.9999999999964,159576798.39154568,160061629.6466702,-0.6296605279240808,41.04636714580718,121571.48079088703,346832.8258021772
sensitivity_storage_2000mw,2000 MW / 4h,2000.0,8000.0,12.05159967086873,241.0319934173747,1548148.4937197978,19515586.378585532,1718.0,752.9999999999964,159261694.1732325,160376733.86498338,-1.5579084328154593,87.38064692678012,243675.73292920738,661937.0441153646
case_study_3000mw,3000 MW / 4h,3000.0,12000.0,10.43692413611129,313.10772408333895,2011090.9117872864,19693756.780768257,1958.0,992.9999999999964,158752021.9501334,160886406.08808246,-3.172583967572899,159.45637759274436,421846.1351119317,1171609.2672144473
