policy,block_start,block_end,elapsed_seconds,objective_value,mip_gap,status,total_ramp_up_violation_mw,total_ramp_down_violation_mw
forecast_informed_uc,2025-04-08 08:00:00,2025-04-15 07:00:00,3.862873077392578,21653861.946008578,0.004985573209009513,0,0.0,0.0
forecast_informed_uc,2025-04-15 08:00:00,2025-04-22 07:00:00,3.262662887573242,12617574.380545162,1.4124951398073757e-05,0,0.0,0.0
forecast_informed_uc,2025-04-22 08:00:00,2025-04-29 07:00:00,2.7719368934631348,14886248.103559794,4.4539979964353915e-05,0,0.0,0.0
forecast_informed_uc,2025-04-29 08:00:00,2025-05-06 08:00:00,2.2394256591796875,13705015.43124834,4.672736407525332e-05,0,0.0,0.0
forecast_informed_uc,2025-05-06 09:00:00,2025-05-13 08:00:00,2.315418004989624,15809396.75263522,7.000208395907628e-05,0,0.0,0.0
forecast_informed_uc,2025-05-13 09:00:00,2025-05-20 08:00:00,2.4148800373077393,15636607.455304481,7.035874415482797e-05,0,0.0,0.0
forecast_informed_uc,2025-05-20 09:00:00,2025-05-27 08:00:00,2.628535032272339,15141923.034679703,2.1946353554800264e-05,0,0.0,0.0
forecast_informed_uc,2025-05-27 09:00:00,2025-06-03 08:00:00,2.518434762954712,14967318.550785352,2.3929879573155393e-05,0,0.0,0.0
forecast_informed_uc,2025-06-03 09:00:00,2025-06-10 08:00:00,2.5975987911224365,20433523.510302912,9.056305540773829e-05,0,0.0,0.0
forecast_informed_uc,2025-06-10 09:00:00,2025-06-17 08:00:00,3.8557260036468506,21574438.76718872,0.0002387177296423799,0,0.0,0.0
forecast_informed_uc,2025-06-17 09:00:00,2025-06-24 08:00:00,13.486755132675171,34316938.87261199,0.00025413351963223977,0,0.0,0.0
forecast_informed_uc,2025-06-24 09:00:00,2025-07-01 08:00:00,36.08380699157715,37094216.20517169,5.549494093674022e-07,0,0.0,0.0
forecast_informed_uc,2025-07-01 09:00:00,2025-07-08 08:00:00,7.610305070877075,38896080.41267638,6.762755457949238e-05,0,0.0,0.0
forecast_informed_uc,2025-07-08 09:00:00,2025-07-15 08:00:00,7.438767910003662,46714352.184381574,8.774575586651214e-05,0,0.0,0.0
forecast_informed_uc,2025-07-15 09:00:00,2025-07-22 08:00:00,5.323115110397339,36802045.1057842,0.00048021735523409915,0,0.0,0.0
forecast_informed_uc,2025-07-22 09:00:00,2025-07-29 08:00:00,9.045188903808594,46502412.42249666,5.927953572443783e-05,0,0.0,0.0
forecast_informed_uc,2025-07-29 09:00:00,2025-08-05 08:00:00,4.93018913269043,37029702.758393064,0.0003743481200453223,0,0.0,0.0
forecast_informed_uc,2025-08-05 09:00:00,2025-08-12 08:00:00,9.077098846435547,47276252.76401876,0.00015628656548698035,0,0.0,0.0
forecast_informed_uc,2025-08-12 09:00:00,2025-08-19 08:00:00,6.562958717346191,43626269.66304894,0.0001283641395084544,0,0.0,0.0
forecast_informed_uc,2025-08-19 09:00:00,2025-08-26 08:00:00,3.190268039703369,29843751.146383718,7.557572177156483e-05,0,0.0,0.0
forecast_informed_uc,2025-08-26 09:00:00,2025-09-02 08:00:00,2.7044012546539307,21560614.32852324,5.814516969244557e-05,0,0.0,0.0
forecast_informed_uc,2025-09-02 09:00:00,2025-09-09 08:00:00,2.6945438385009766,22162679.370370783,0.0005034084683182293,0,0.0,0.0
forecast_informed_uc,2025-09-09 09:00:00,2025-09-16 08:00:00,4.636691093444824,29932664.319063038,0.00011916014441122829,0,0.0,0.0
forecast_informed_uc,2025-09-16 09:00:00,2025-09-23 08:00:00,9.412759065628052,30682835.485757697,0.00014477049902113205,0,0.0,0.0
forecast_informed_uc,2025-09-23 09:00:00,2025-09-30 08:00:00,32.43109083175659,32233532.36418423,6.576071044790162e-07,0,0.0,0.0
forecast_informed_uc,2025-09-30 09:00:00,2025-10-07 08:00:00,4.624941110610962,25642276.79998119,0.0003152126196887279,0,0.0,0.0
forecast_informed_uc,2025-10-07 09:00:00,2025-10-14 08:00:00,2.856374979019165,21108437.35619157,7.734731319011825e-05,0,0.0,0.0
forecast_informed_uc,2025-10-14 09:00:00,2025-10-21 08:00:00,4.241869688034058,19797997.59988476,0.00021943853410843686,0,0.0,0.0
forecast_informed_uc,2025-10-21 09:00:00,2025-10-28 08:00:00,4.165616989135742,24928908.04021208,0.00034208286795709694,0,0.0,0.0
forecast_informed_uc,2025-10-28 09:00:00,2025-11-04 08:00:00,3.004179000854492,22415281.213901315,9.238319456696356e-05,0,0.0,0.0
forecast_informed_uc,2025-11-04 09:00:00,2025-11-11 08:00:00,5.39084792137146,25783407.30509534,0.0011037486237843615,0,0.0,0.0
forecast_informed_uc,2025-11-11 09:00:00,2025-11-18 08:00:00,4.005182981491089,24059394.8517603,0.0005076401362510465,0,0.0,0.0
forecast_informed_uc,2025-11-18 09:00:00,2025-11-25 08:00:00,8.681380033493042,32484491.431246813,0.0003090434266404855,0,0.0,0.0
