fuel,split,method,segment_type,segment_value,observations,mae_mw,rmse_mw,nmae_vs_available_capacity,nrmse_vs_available_capacity
Solar,train,seasonal_naive,season,Fall,10920,28.175457875457877,59.1296489471685,0.06995377279643206,0.14680655932076112
Solar,train,seasonal_naive,season,Spring,9408,38.86532738095238,74.14617374337205,0.0962118863892197,0.18355031914355757
Solar,train,seasonal_naive,season,Summer,9576,30.02088554720134,57.408821319083444,0.07100305272621293,0.13577885837710135
Solar,train,seasonal_naive,season,Winter,9408,21.478528911564627,51.14353883557384,0.05394964130576981,0.12846203697876635
Solar,train,seasonal_naive,hour_block,Afternoon,9828,60.06573056573057,86.43400252699624,0.14566433880482038,0.20960956788116186
Solar,train,seasonal_naive,hour_block,Evening,9828,1.1224053724053724,6.328423326464641,0.0028028058040007633,0.015802972852470298
Solar,train,seasonal_naive,hour_block,Morning,9828,56.63329263329263,85.65969788695172,0.13731433865024925,0.20769240525161167
Solar,train,seasonal_naive,hour_block,Overnight,9828,0.5008140008140008,3.7662684695568616,0.0012456659833472528,0.009367774281579437
Solar,train,ieso_raw,season,Fall,10920,5.418498168498169,14.405750276387586,0.013452998402101186,0.03576646691070602
Solar,train,ieso_raw,season,Spring,9408,6.729910714285714,14.70702765398114,0.01666002703915942,0.0364075377494806
Solar,train,ieso_raw,season,Summer,9576,6.3012740183792815,14.09837957354791,0.014903280939725946,0.03334438574907746
Solar,train,ieso_raw,season,Winter,9408,4.091305272108843,10.617924815186457,0.010276516274065351,0.026670040464573556
Solar,train,ieso_raw,hour_block,Afternoon,9828,11.235653235653235,20.0453139490159,0.027247383561258495,0.048611535646322986
Solar,train,ieso_raw,hour_block,Evening,9828,0.7717745217745218,4.568265274592492,0.001927230715560311,0.011407607929034972
Solar,train,ieso_raw,hour_block,Morning,9828,10.121082621082621,17.582939107548192,0.024539801624062677,0.042631984523909754
Solar,train,ieso_raw,hour_block,Overnight,9828,0.39051689051689054,2.71735255055447,0.0009713258927441602,0.006758823897666421
Solar,train,linear_residual,season,Fall,10920,4.320378455967346,10.803175190000495,0.010726596679963563,0.026822025965356745
Solar,train,linear_residual,season,Spring,9408,5.502450091106114,11.691194364648014,0.013621423996734652,0.028941782811716967
Solar,train,linear_residual,season,Summer,9576,5.299582523858662,11.45922640032817,0.012534158486991472,0.027102466881759355
Solar,train,linear_residual,season,Winter,9408,3.4423157709938605,7.9778529791073876,0.008646388301124337,0.020038723712650093
Solar,train,linear_residual,hour_block,Afternoon,9828,9.255720765416406,16.041829845287044,0.02244588441292737,0.03890275728980056
Solar,train,linear_residual,hour_block,Evening,9828,1.0280062543258863,2.8624792090036952,0.0025670777840263725,0.007148017586225044
Solar,train,linear_residual,hour_block,Morning,9828,7.688176930256263,13.456034200391308,0.018640924472465452,0.032625799263447185
Solar,train,linear_residual,hour_block,Overnight,9828,0.5547232598376823,1.671275100894776,0.0013797535488787847,0.004156933589348786
Solar,train,gradient_boosted,season,Fall,10920,3.863200699718862,9.540531156796813,0.009591519868450723,0.023687144743126897
Solar,train,gradient_boosted,season,Spring,9408,4.653605915982561,10.298778469347424,0.011520093457598022,0.025494829731608337
Solar,train,gradient_boosted,season,Summer,9576,4.688066895169162,10.077676518050236,0.011087849504584003,0.0238349330516516
Solar,train,gradient_boosted,season,Winter,9408,2.9416449766297825,6.993335805192027,0.007388806374567282,0.0175658193247008
Solar,train,gradient_boosted,hour_block,Afternoon,9828,8.149424130941314,14.024966935524494,0.01976302404870577,0.034011698786998605
Solar,train,gradient_boosted,hour_block,Evening,9828,0.6112688586072039,1.9645504749385305,0.0015264252531485768,0.0049057618653499365
Solar,train,gradient_boosted,hour_block,Morning,9828,7.042373664257027,12.066499237030774,0.01707509553606479,0.029256701941828916
Solar,train,gradient_boosted,hour_block,Overnight,9828,0.3279061409407717,1.5099800998831892,0.0008155952605891489,0.00375574732914534
Solar,train,best_ml,season,Fall,10920,3.863200699718862,9.540531156796813,0.009591519868450723,0.023687144743126897
Solar,train,best_ml,season,Spring,9408,4.653605915982561,10.298778469347424,0.011520093457598022,0.025494829731608337
Solar,train,best_ml,season,Summer,9576,4.688066895169162,10.077676518050236,0.011087849504584003,0.0238349330516516
Solar,train,best_ml,season,Winter,9408,2.9416449766297825,6.993335805192027,0.007388806374567282,0.0175658193247008
Solar,train,best_ml,hour_block,Afternoon,9828,8.149424130941314,14.024966935524494,0.01976302404870577,0.034011698786998605
Solar,train,best_ml,hour_block,Evening,9828,0.6112688586072039,1.9645504749385305,0.0015264252531485768,0.0049057618653499365
Solar,train,best_ml,hour_block,Morning,9828,7.042373664257027,12.066499237030774,0.01707509553606479,0.029256701941828916
Solar,train,best_ml,hour_block,Overnight,9828,0.3279061409407717,1.5099800998831892,0.0008155952605891489,0.00375574732914534
Solar,validation,seasonal_naive,season,Fall,2184,29.168498168498168,63.302018959868924,0.06693354347255057,0.1452604249102745
Solar,validation,seasonal_naive,season,Spring,2208,39.37182971014493,76.98123183184214,0.09098977931056139,0.17790652217592087
Solar,validation,seasonal_naive,season,Summer,2208,29.14356884057971,55.82117945804224,0.06687354312657119,0.12808863843283522
Solar,validation,seasonal_naive,season,Winter,2184,23.375915750915752,55.77541553428337,0.053972764649229364,0.128780126003274
Solar,validation,seasonal_naive,hour_block,Afternoon,2196,64.2832422586521,94.28412085959087,0.14783281652691427,0.2168261377413848
Solar,validation,seasonal_naive,hour_block,Evening,2196,1.1029143897996356,6.184327096729624,0.002548843180897357,0.014292024924800974
Solar,validation,seasonal_naive,hour_block,Morning,2196,55.50774134790528,85.0763104362778,0.1275580679863207,0.19550732072915772
Solar,validation,seasonal_naive,hour_block,Overnight,2196,0.25318761384335153,2.2250437461162753,0.0005824581620092711,0.00511871363326228
Solar,validation,ieso_raw,season,Fall,2184,3.4235347985347984,7.006439999400656,0.00785605463619648,0.016077819762218053
Solar,validation,ieso_raw,season,Spring,2208,3.9094202898550723,8.17439001846089,0.009034817330688758,0.01889132278723031
Solar,validation,ieso_raw,season,Summer,2208,5.242300724637682,11.1532270952259,0.01202911096815897,0.025592466634165156
Solar,validation,ieso_raw,season,Winter,2184,3.8264652014652016,9.996038592651969,0.008834943963598805,0.02307990173025342
Solar,validation,ieso_raw,hour_block,Afternoon,2196,8.35655737704918,13.1939607810883,0.019217658756962748,0.030342283850055878
